"ch"
"JIIIJIJIIJJ0000000000000000"
"J00000000000000000000000000"
"IIJIIIJIJ000000000000000000"
"I00000000000000000000000000"
"DEDEDDDEDEEEDDE000000000000"
"CDEDEIJIJDDE000000000000000"
"HHIIIJIJIJ00000000000000000"
"IIEE00000000000000000000000"
"IJIJIIJJIIJJJJJ000000000000"
"E00000000000000000000000000"
"DEDDE0DEEDE0000000000000000"
"EIJIJIIIJJIJ000000000000000"
"EE0000000000000000000000000"
"HHDDEDDJ0000000000000000000"
"CDJIIJIIIEDEDE0000000000000"
"EDDEDEEEDE00000000000000000"
"000000B00000000000000000000"
"GHDDEDDED000000000000000000"
"BCCDDEDEDDEDE00000000000000"
"F00000000000000000000000000"
"F00000000000000000000000000"
"F00000000000000000000000000"
"0FBCHIE00000000000000000000"
"0FGHHIJIJJJIJIJJE0000000000"
"0FGHH0000000000000000000000"
"0ABCCDEE0000000000000000000"
"0ABCCCDDEDEIIJIJDE000000000"
"00FGHHHDEDEDDED0E00E0000000"
"00AGHH000000000000000000000"
"00ABC0000000000000000000000"
"00BC00000000000000000000000"
"0GHHI0JII000000000000000000"
"000BCCCEDED0000000000000000"
"000BCCDEEEDDEDEDED000000000"
"000GHIJJIIJIIJIJJ0000000000"
"000F00000000000000000000000"
"000ABCCDEEEEEEEEEEEEE000000"
"0000ABCCDEDE000000000000000"
"0000F0000000000000000000000"
"0000F0HIJI00000000000000000"
"0000FGHI0000000000000000000"
"0000ABCCDEDEDDDEE0000000000"
"0000ABCCCDDEDDDE00000000000"
"00000GH00000000000000000000"
"000000B00000000000000000000"
"00000FGHHIIJIIJII0000000000"
"00000AB00000000000000000000"
"000000GG0000000000000000000"
"000000F00000000000000000000"
"000000GHHIJ0000000000000000"
"000000GHHIIIJIDEDDDE00EE000"
"000000FGHH00000000000000000"
"000000ABC000000000000000000"
"0000000B0000000000000000000"
"0000000BCC00000000000000000"
"0000000F0000000000000000000"
"0000000F0000000000000000000"
"0000000FGHHHJIJIJI0DE0E0000"
"0000000FF000000000000000000"
"0000000FGHH0000000000000000"
"00000000F000000000000000000"
"00000000A000000000000000000"
"00000000A000000000000000000"
"00000000ABCDEDDE00000000000"
"00000000F000000000000000000"
"00000000FGHIIIIIIIIIIIJ0000"
"00000000FGIJIJIIJIJIIJ00000"
"00000000AB00000000000000000"
"00000000FG00000000000000000"
"00000000FG00000000000000000"
"000000000BCCDDE000000000000"
"000000000A00000000000000000"
"000000000BHHCDDE00000000000"
"000000000BCC000000000000000"
"000000000F00000000000000000"
"000000000ABB000000000000000"
"0000000000GHHIJJIJ0IDE00000"
"0000000000ABCCC000000000000"
"0000000000FF000000000000000"
"0000000000AA000000000000000"
"0000000000ABCCCD00000000000"
"0000000000G0000000000000000"
"0000000000GHIIJIIJJJ0000000"
"0000000000FGHCDD00000000000"
"0000000000ABCCC0DE0DEEDDE00"
"0000000000ABCCCD00000000000"
"00000000000FGIJJIIIJIIIJIIJ"
"00000000000FGG0000000000000"
"00000000000FGH0000000000000"
"00000000000AB00000000000000"
"00000000000F000000000000000"
"00000000000ABCCCEDEDED00000"
"00000000000FGHHCDEDED000000"
"00000000000ABCCDEDEE0000000"
"000000000000BCCCDEDEDEE0000"
"000000000000BCCC00000000000"
"000000000000ABCCDEDEDEE0000"
"000000000000FGHH00000000000"
"000000000000FGIIJIIJIIJ0000"
"000000000000FGI000000000000"
"000000000000ABCCCD0DDEEDDEE"
"000000000000FGHHIIJIIEE0000"
"000000000000FGHHDE0DDE00000"
"0000000000000GHHDEDDE000000"
"0000000000000ABCCD0E0000000"
"0000000000000FGHC0000000000"
"0000000000000AB000000000000"
"0000000000000FGHHI000000000"
"0000000000000ABC0DEED000000"
"0000000000000ABC0D0DEDDED00"
"0000000000000FGHHD000000000"
"0000000000000FGHHIJIIJI0000"
"0000000000000AA000000000000"
"00000000000000ABC00EE0ED000"
"00000000000000FGHIJIIJJ0000"
"00000000000000FGHIIJIEIIJDE"
"00000000000000AB00000000000"
"00000000000000ABCCDEDDDEDDE"
"00000000000000FGIIJIIIIJ000"
"0000000000000000BC0C0000000"
"000000000000000GHHHJIJIJIIJ"
"000000000000000A00000000000"
"000000000000000ABC000000000"
